Epoch [10668/12500], time: 3079.3675, Loss: -8959.7471
Epoch [10670/12500], time: 3079.8881, Loss: -8969.7217
Epoch [10672/12500], time: 3080.4100, Loss: -8979.6992
Epoch [10674/12500], time: 3080.9301, Loss: -8989.5215
Epoch [10676/12500], time: 3081.4541, Loss: -8999.2617
Epoch [10678/12500], time: 3081.9927, Loss: -9008.8018
Epoch [10680/12500], time: 3082.5186, Loss: -9018.2734
Epoch [10682/12500], time: 3083.0402, Loss: -9028.0049
Epoch [10684/12500], time: 3083.5593, Loss: -9037.2832
Epoch [10686/12500], time: 3084.0795, Loss: -9046.8389
Epoch [10688/12500], time: 3084.6010, Loss: -9056.0117
Epoch [10690/12500], time: 3085.1233, Loss: -9065.2070
Epoch [10692/12500], time: 3085.6430, Loss: -9074.1602
Epoch [10694/12500], time: 3086.1628, Loss: -9083.2031
Epoch [10696/12500], time: 3086.6820, Loss: -9092.2012
Epoch [10698/12500], time: 3087.2013, Loss: -9101.0293
Epoch [10700/12500], time: 3087.7212, Loss: -9109.7217
Epoch [10702/12500], time: 3088.2438, Loss: -9118.5059
Epoch [10704/12500], time: 3088.7644, Loss: -9127.0273
Epoch [10706/12500], time: 3089.2841, Loss: -9135.5869
Epoch [10708/12500], time: 3089.8041, Loss: -9144.1377
Epoch [10710/12500], time: 3090.3249, Loss: -9152.6279
Epoch [10712/12500], time: 3090.8444, Loss: -9160.9053
Epoch [10714/12500], time: 3091.3663, Loss: -9168.9834
Epoch [10716/12500], time: 3091.8862, Loss: -9177.4189
Epoch [10718/12500], time: 3092.4066, Loss: -9185.4385
Epoch [10720/12500], time: 3092.9302, Loss: -9193.5527
Epoch [10722/12500], time: 3093.4522, Loss: -9201.4746
Epoch [10724/12500], time: 3093.9715, Loss: -9209.5029
Epoch [10726/12500], time: 3094.4939, Loss: -9217.2988
Epoch [10728/12500], time: 3095.0139, Loss: -9225.0986
Epoch [10730/12500], time: 3095.5340, Loss: -9232.6875
Epoch [10732/12500], time: 3096.0546, Loss: -9240.3652
Epoch [10734/12500], time: 3096.5745, Loss: -9247.8330
Epoch [10736/12500], time: 3097.0963, Loss: -9255.3965
Epoch [10738/12500], time: 3097.6158, Loss: -9262.8096
Epoch [10740/12500], time: 3098.1353, Loss: -9270.2090
Epoch [10742/12500], time: 3098.6657, Loss: -9277.5264
Epoch [10744/12500], time: 3099.1851, Loss: -9284.8857
Epoch [10746/12500], time: 3099.7079, Loss: -9291.9150
Epoch [10748/12500], time: 3100.2284, Loss: -9298.9688
Epoch [10750/12500], time: 3100.7483, Loss: -9306.0586
Epoch [10752/12500], time: 3101.2687, Loss: -9313.0283
Epoch [10754/12500], time: 3101.7897, Loss: -9320.0967
Epoch [10756/12500], time: 3102.3091, Loss: -9326.8623
Epoch [10758/12500], time: 3102.8295, Loss: -9333.6807
Epoch [10760/12500], time: 3103.3492, Loss: -9340.4473
Epoch [10762/12500], time: 3103.8684, Loss: -9347.1436
Epoch [10764/12500], time: 3104.3877, Loss: -9353.8438
Epoch [10766/12500], time: 3104.9077, Loss: -9360.2900
Epoch [10768/12500], time: 3105.4302, Loss: -9366.8672
Epoch [10770/12500], time: 3105.9525, Loss: -9373.3789
Epoch [10772/12500], time: 3106.4731, Loss: -9379.7324
Epoch [10774/12500], time: 3106.9926, Loss: -9386.1162
Epoch [10776/12500], time: 3107.5117, Loss: -9392.4990
Epoch [10778/12500], time: 3108.0311, Loss: -9398.5811
Epoch [10780/12500], time: 3108.5509, Loss: -9404.8477
Epoch [10782/12500], time: 3109.0711, Loss: -9410.8877
Epoch [10784/12500], time: 3109.5903, Loss: -9417.0156
Epoch [10786/12500], time: 3110.1126, Loss: -9423.0488
Epoch [10788/12500], time: 3110.6322, Loss: -9429.0410
Epoch [10790/12500], time: 3111.1585, Loss: -9434.9248
Epoch [10792/12500], time: 3111.6837, Loss: -9440.7305
Epoch [10794/12500], time: 3112.2053, Loss: -9446.6758
Epoch [10796/12500], time: 3112.7256, Loss: -9452.4600
Epoch [10798/12500], time: 3113.2491, Loss: -9458.0791
Epoch [10800/12500], time: 3113.7695, Loss: -9463.7256
Epoch [10802/12500], time: 3114.2899, Loss: -9469.3438
Epoch [10804/12500], time: 3114.8111, Loss: -9474.8369
Epoch [10806/12500], time: 3115.3316, Loss: -9480.4551
Epoch [10808/12500], time: 3115.8543, Loss: -9486.0439
Epoch [10810/12500], time: 3116.3752, Loss: -9491.4707
Epoch [10812/12500], time: 3116.8954, Loss: -9496.6943
Epoch [10814/12500], time: 3117.4151, Loss: -9502.1924
Epoch [10816/12500], time: 3117.9387, Loss: -9507.4746
Epoch [10818/12500], time: 3118.4573, Loss: -9512.6328
Epoch [10820/12500], time: 3118.9784, Loss: -9517.7764
Epoch [10822/12500], time: 3119.4980, Loss: -9522.9111
Epoch [10824/12500], time: 3120.0179, Loss: -9528.0205
Epoch [10826/12500], time: 3120.5376, Loss: -9533.1182
Epoch [10828/12500], time: 3121.0581, Loss: -9538.0850
Epoch [10830/12500], time: 3121.5769, Loss: -9542.9883
Epoch [10832/12500], time: 3122.0976, Loss: -9547.8184
Epoch [10834/12500], time: 3122.6169, Loss: -9552.8330
Epoch [10836/12500], time: 3123.1368, Loss: -9557.6270
Epoch [10838/12500], time: 3123.6557, Loss: -9562.4648
Epoch [10840/12500], time: 3124.1736, Loss: -9567.1367
Epoch [10842/12500], time: 3124.6932, Loss: -9571.8203
